id,uuid,content,tags,project,theme,created_at,importance,related_to,memory_type,use_count,last_used,version,is_obsolete
11,b89d21fe-4270-470c-a9fa-f29b013c8997,"El sistema de relaciones entre memorias permite conectar conceptos relacionados para mejores respuestas","relaciones,conexiones,conceptos",alma-core,architecture,"2025-11-21 07:24:33",4,architecture,structure,4,"2025-11-21 10:59:38",1.0.0,0
12,9a331f1c-f519-48ae-aaed-f9d2639248ae,"Docker permite ejecutar Alma de forma consistente en cualquier entorno","docker,container,deployment",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,structure,0,"2025-11-21 07:24:33",1.0.0,0
13,2694f744-9d69-4009-a2fd-616274eb11d1,"El archivo .env contiene DEEPSEEK_API_KEY para la conexión con la API de DeepSeek","env,api_key,configuracion",alma-core,architecture,"2025-11-21 07:24:33",4,architecture,structure,0,"2025-11-21 07:24:33",1.0.0,0
14,b00d9b17-e3e3-4d29-a4ba-2f844c1eb0e9,"Las búsquedas usan LIKE con wildcards para encontrar coincidencias parciales en contenido y tags","busqueda,like,wildcards",alma-core,programming,"2025-11-21 07:24:33",3,programming,function,1,"2025-11-21 08:50:23",1.0.0,0
15,cc0fe1ef-4a07-40d2-a32f-9cf7a8541d0e,"El algoritmo de búsqueda prioriza importancia, luego use_count y finalmente last_used","algoritmo,busqueda,prioridad",alma-core,architecture,"2025-11-21 07:24:33",4,architecture,function,3,"2025-11-21 08:50:23",1.0.0,0
16,13b2f1d4-be1c-4c72-ac1b-76fdf88eff2d,"Las memorias institutional contienen conocimiento fundamental sobre Alma y su operación","institutional,fundamental,conocimiento",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,structure,15,"2025-11-21 11:38:06",1.0.0,0
17,99406dfb-3f58-4431-aae4-599e10d16737,"El tipo context se usa para memorias de conversación específicas del usuario","context,usuario,conversacion",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,structure,5,"2025-11-21 10:59:38",1.0.0,0
18,2a42588e-ff48-4f66-ab5c-f64a7cff8ed3,"La visión a futuro incluye integración con herramientas de pentesting como nmap, metasploit y burp suite","pentesting,herramientas,integracion",alma-vision,philosophy,"2025-11-21 07:24:33",5,pentesting,alma,8,"2025-11-21 10:59:38",1.0.0,0
19,6a2827e1-43be-4e71-aa41-550fda2edf55,"El sistema LRU automáticamente elimina memorias poco usadas cuando se excede el límite de 500","lru,limite,optimizacion",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,function,0,"2025-11-21 07:24:33",1.0.0,0
20,00925890-4a38-41f4-a2a7-56c4f761c705,"Alma.py es el script principal que maneja la interfaz CLI y el loop de conversación","alma.py,main,cli",alma-core,programming,"2025-11-21 07:24:33",5,programming,structure,5,"2025-11-21 11:38:06",1.0.0,0
21,c14f32ce-1611-470e-a409-fb4a0b954d7a,"Memory.py contiene la clase MemoryManager para todas las operaciones de base de datos","memory.py,MemoryManager,database",alma-core,programming,"2025-11-21 07:24:33",4,programming,structure,4,"2025-11-21 09:05:53",1.0.0,0
22,b558f1c2-2696-4c89-a451-d1d87802386e,"El schema.sql define la estructura de la base de datos con constraints de validación","schema.sql,database,estructura",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,structure,1,"2025-11-21 09:05:53",1.0.0,0
23,b47bae41-85a9-435c-a6b7-0efa5f72abef,"Las memorias con related_to=pentesting serán el foco para el agente especializado","pentesting,agente,especializacion",alma-vision,philosophy,"2025-11-21 07:24:33",5,pentesting,alma,24,"2025-11-21 11:38:06",1.0.0,0
24,67df8177-cfcb-48f9-ad13-254d917f09b8,"El sistema de tags permite búsquedas más precisas por categorías técnicas","tags,categorias,busqueda",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,function,3,"2025-11-21 09:43:30",1.0.0,0
25,4e5885f3-8f0e-4ac6-a8db-6e4a35cd6bdf,"La respuesta de Alma combina el contexto de memorias con la inteligencia de DeepSeek","respuesta,contexto,deepseek",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,function,18,"2025-11-21 11:30:21",1.0.0,0
26,50907a3e-8994-4c35-ad50-1bac211b242d,"El proyecto busca crear un compañero de pentesting que recuerde técnicas y hallazgos previos","companero,pentesting,memoria",alma-vision,philosophy,"2025-11-21 07:24:33",5,pentesting,alma,18,"2025-11-21 11:38:06",1.0.0,0
27,8c47a9d1-22e3-41bb-a797-7f35e3287eb5,"Las relaciones entre memorias permiten navegación contextual entre conceptos relacionados","navegacion,contextual,relaciones",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,function,1,"2025-11-21 09:43:30",1.0.0,0
28,6d790976-ebf1-40d9-aa36-8d70b28a19a6,"El comando /optimize limpiará duplicados y mejorará la estructura de la base de datos","optimize,comando,limpieza",alma-core,programming,"2025-11-21 07:24:33",3,programming,function,2,"2025-11-21 09:05:53",1.0.0,0
29,0c4e9b8b-7897-4ed5-a88a-61b918b46405,"La arquitectura modular permite agregar nuevos comandos y funciones fácilmente","modular,arquitectura,extension",alma-core,architecture,"2025-11-21 07:24:33",4,architecture,structure,0,"2025-11-21 07:24:33",1.0.0,0
30,cf24d752-ca56-4325-ad9f-ccb31358d5ea,"El roadmap incluye comandos para escaneo de redes, análisis de vulnerabilidades y reportes automáticos","roadmap,comandos,pentesting",alma-vision,philosophy,"2025-11-21 07:24:33",5,pentesting,alma,4,"2025-11-21 08:50:23",1.0.0,0
31,b98296f6-be39-4b83-a6ae-eff161b39a3b,"Alma ahora integra LangChain para razonamiento automático y uso inteligente de herramientas","langchain,agente,razonamiento",alma-core,architecture,"2025-11-21 11:23:10",5,architecture,institutional,0,"2025-11-21 11:23:10",1.0.0,0
32,faa13672-f2e4-4aa0-a83c-ee0905412c60,"El agente LangChain en Alma usa el patrón ReAct (Reasoning + Acting) para decidir acciones","react,patron,razonamiento,accion",alma-langchain,architecture,"2025-11-21 11:23:10",5,architecture,structure,0,"2025-11-21 11:23:10",1.0.0,0
33,007fab9a-dd70-4664-ae10-911a41880c31,"Herramienta BuscarMemorias: LangChain busca automáticamente en memorias cuando detecta necesidad de contexto","buscar-memorias,herramienta,contexto",alma-langchain,programming,"2025-11-21 11:23:10",4,programming,function,0,"2025-11-21 11:23:10",1.0.0,0
34,8e5076ed-7686-483f-abac-e84a32ba00d2,"Herramienta AgregarMemoria: El agente puede guardar conocimiento automáticamente cuando identifica información valiosa","agregar-memoria,herramienta,conocimiento",alma-langchain,programming,"2025-11-21 11:23:10",4,programming,function,0,"2025-11-21 11:23:10",1.0.0,0
35,104791f9-80a7-46fb-a359-0a7accf56de1,"Herramienta ListarMemorias: LangChain muestra memorias cuando el usuario pregunta sobre contenido guardado","listar-memorias,herramienta,consulta",alma-langchain,programming,"2025-11-21 11:23:10",3,programming,function,0,"2025-11-21 11:23:10",1.0.0,0
36,f9fd1c22-0448-4a0c-a0a9-d7a6c6f50142,"El sistema tiene fallback automático: si LangChain falla, usa el sistema de respuestas original con DeepSeek directo","fallback,resiliencia,backup",alma-langchain,architecture,"2025-11-21 11:23:10",4,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
37,58ac973a-6171-424f-a80d-06e767ca179f,"MemoryManager ahora tiene use_smart_search para controlar búsquedas con LLM (smart) o por keywords (simple)","smart-search,busqueda-inteligente",alma-core,architecture,"2025-11-21 11:23:10",4,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
38,ad7fa87f-8a86-41f3-a6b9-095089af01b5,"El agente LangChain usa ConversationBufferMemory para mantener contexto de la conversación actual","conversation-buffer,memoria-contexto",alma-langchain,architecture,"2025-11-21 11:23:10",4,architecture,structure,0,"2025-11-21 11:23:10",1.0.0,0
39,e109030c-6ba2-4d49-a4eb-d208257f6f4f,"DeepSeekLLM es un wrapper personalizado que permite integrar DeepSeek con el ecosistema LangChain","deepseek-wrapper,integracion,api",alma-langchain,programming,"2025-11-21 11:23:10",5,programming,structure,0,"2025-11-21 11:23:10",1.0.0,0
40,6ef5c294-8644-4d76-ab0a-0c7288da7741,"El prompt template de Alma guía al agente para especializarse en hacking y programación con respuestas técnicas","prompt-template,especializacion,tecnico",alma-langchain,programming,"2025-11-21 11:23:10",4,programming,structure,0,"2025-11-21 11:23:10",1.0.0,0
41,3ab165db-09a3-48ac-ab92-384f63ba05dd,"AgentExecutor maneja la ejecución del agente con máximo 3 iteraciones para evitar loops infinitos","agent-executor,iteraciones,control",alma-langchain,architecture,"2025-11-21 11:23:10",3,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
42,10997417-02ea-4273-a02c-5df748a99756,"El sistema de herramientas permite extensión futura: nuevas herramientas se integran automáticamente con el agente","herramientas,extension,modular",alma-langchain,architecture,"2025-11-21 11:23:10",4,architecture,structure,0,"2025-11-21 11:23:10",1.0.0,0
43,2aeb698e-49f5-4082-a502-bf67e4f3e83d,"Alma detecta automáticamente si LangChain está disponible y ajusta su funcionamiento accordingly","deteccion-auto,compatibilidad",alma-langchain,architecture,"2025-11-21 11:23:10",3,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
44,020a355e-ab61-499c-a04a-6e861249c26d,"El comando /metrics muestra las métricas del sistema de aprendizaje evolutivo: conversaciones, éxito, scores","metrics,comando,aprendizaje",alma-core,programming,"2025-11-21 11:23:10",3,programming,function,0,"2025-11-21 11:23:10",1.0.0,0
45,dc70555c-343a-499a-aea8-d8b1b666976d,"El scoring multi-capa evalúa conversaciones con: análisis semántico (40%), técnico (30%), patrones (20%), contexto (10%)","scoring,multi-capa,evaluacion",alma-core,architecture,"2025-11-21 11:23:10",5,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
46,284d155d-8e7b-414b-a0f3-2950766e88c6,"El sistema de aprendizaje adaptativo ajusta automáticamente el umbral para crear memorias basado en tasa de éxito","aprendizaje-adaptativo,umbral-dinamico",alma-core,architecture,"2025-11-21 11:23:10",5,architecture,function,1,"2025-11-21 11:30:21",1.0.0,0
47,43dd88cc-3066-420c-a63e-86c47b197582,"Las memorias compuestas agrupan conocimiento relacionado cuando se detectan múltiples conceptos interconectados","memorias-compuestas,conocimiento-integrado",alma-core,architecture,"2025-11-21 11:23:10",4,architecture,structure,0,"2025-11-21 11:23:10",1.0.0,0
48,7c915345-b1cd-4f0d-a735-05338e45bf68,"El análisis semántico con LLM determina el valor del conocimiento: conceptual, procedural, factual o methodological","analisis-semantico,valor-conocimiento",alma-core,architecture,"2025-11-21 11:23:10",4,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
49,b12a6822-604f-441b-a67d-e1907114f6ff,"El sistema extrae componentes de conocimiento estructurados: concepto, explicación, categoría, importancia, relaciones","componentes-conocimiento,estructura",alma-core,architecture,"2025-11-21 11:23:10",4,architecture,function,0,"2025-11-21 11:23:10",1.0.0,0
50,f0c6ce7a-7112-4b99-ab3c-c3e975cfcb91,"La arquitectura permite múltiples modos: LangChain (avanzado) y Standard (robusto) para diferentes necesidades","multi-modo,arquitectura-flexible",alma-langchain,architecture,"2025-11-21 11:23:10",4,architecture,structure,0,"2025-11-21 11:23:10",1.0.0,0
51,091f9c36-9e82-4ce0-a5b9-36f731e13353,"Roadmap: Integración con herramientas de pentesting como herramientas LangChain para escaneo y análisis automático","roadmap,pentesting-tools,automation",alma-vision,philosophy,"2025-11-21 11:23:10",5,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
52,d93ffca9-06d2-4ea4-a0ea-f2f27d03fed5,"El agente futuro podrá ejecutar nmap, analizar resultados y guardar hallazgos automáticamente en memorias","nmap-integration,escaneo-automatico",alma-vision,philosophy,"2025-11-21 11:23:10",5,pentesting,alma,3,"2025-11-21 11:38:06",1.0.0,0
53,38cf65f7-98fd-4226-a89f-8e4820e4f4c2,"Sistema de plugins permitirá agregar capacidades específicas: OSINT, vulnerability assessment, reporting","plugins,capacidades,extensible",alma-vision,architecture,"2025-11-21 11:23:10",4,architecture,structure,0,"2025-11-21 11:23:10",1.0.0,0
54,1e78952a-30ef-4abb-ac6f-1b1da5313f23,"Las herramientas futuras incluirán: EscanearRed, AnalizarVulnerabilidad, GenerarReporte, BuscarExploits","herramientas-futuras,pentesting",alma-vision,philosophy,"2025-11-21 11:23:10",5,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
55,b5e79f25-c3a1-4656-a394-1d8cecc524a1,"El agente aprenderá de cada pentest, mejorando continuamente sus técnicas y conocimiento de vulnerabilidades","aprendizaje-continuo,mejora-pentesting",alma-vision,philosophy,"2025-11-21 11:23:10",5,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
56,51e382b2-b8a0-497a-a3b2-e76e8f47f9f6,"Sistema de recomendaciones: sugerirá técnicas basado en hallazgos previos y mejores prácticas de pentesting","recomendaciones,tecnicas,mejores-practicas",alma-vision,philosophy,"2025-11-21 11:23:10",4,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
57,710e955b-3bbd-4923-ae80-53134f8c5d0d,"Integración con bases de datos de vulnerabilidades: CVE, OWASP, para análisis contextualizado de riesgos","cve,owasp,vulnerability-databases",alma-vision,philosophy,"2025-11-21 11:23:10",4,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
58,5a2b3937-3427-4ba2-a99d-071e5598f416,"Capacidades de OSINT automático: el agente podrá buscar información pública sobre objetivos","osint,reconocimiento,automatico",alma-vision,philosophy,"2025-11-21 11:23:10",4,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
59,f67c9c73-1e82-42ff-a597-37be1915b25b,"Sistema de reporting inteligente: generará reportes ejecutivos y técnicos basado en hallazgos del pentest","reporting,informes,automatico",alma-vision,philosophy,"2025-11-21 11:23:10",4,pentesting,alma,0,"2025-11-21 11:23:10",1.0.0,0
60,624d6921-1629-406a-a23f-e15d57436209,"Arquitectura multi-agente: futura evolución hacia agentes especializados que colaboran en operaciones complejas","multi-agente,colaboracion,especializacion",alma-vision,philosophy,"2025-11-21 11:23:10",5,architecture,alma,2,"2025-11-21 11:38:06",1.0.0,0
